"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 05 02:41:38 UTC 2024","Tue Mar 05 02:41:42 UTC 2024","4298","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Mar 05 02:56:18 UTC 2024","Tue Mar 05 02:56:20 UTC 2024","1239","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Tue Mar 05 02:44:19 UTC 2024","Tue Mar 05 02:44:27 UTC 2024","8199","","6. Company Account","","","","2. Create a Company Account",""
"passed","Tue Mar 05 03:31:32 UTC 2024","Tue Mar 05 03:32:15 UTC 2024","43406","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Tue Mar 05 03:47:33 UTC 2024","Tue Mar 05 03:47:35 UTC 2024","2387","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Tue Mar 05 02:35:41 UTC 2024","Tue Mar 05 02:36:01 UTC 2024","20275","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Mar 05 02:38:16 UTC 2024","Tue Mar 05 02:38:19 UTC 2024","2433","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Tue Mar 05 02:31:33 UTC 2024","Tue Mar 05 02:31:38 UTC 2024","5411","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Mar 05 03:38:35 UTC 2024","Tue Mar 05 03:42:44 UTC 2024","249216","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Tue Mar 05 02:42:08 UTC 2024","Tue Mar 05 02:42:10 UTC 2024","2002","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Mar 05 03:38:20 UTC 2024","Tue Mar 05 03:38:35 UTC 2024","15400","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Tue Mar 05 02:56:16 UTC 2024","Tue Mar 05 02:56:18 UTC 2024","2215","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"skipped","Tue Mar 05 04:11:04 UTC 2024","Tue Mar 05 04:11:04 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Tue Mar 05 04:00:12 UTC 2024","Tue Mar 05 04:00:39 UTC 2024","26477","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Tue Mar 05 02:44:03 UTC 2024","Tue Mar 05 02:44:19 UTC 2024","15944","","6. Company Account","","","","1. Validate login credentials",""
"passed","Tue Mar 05 03:28:00 UTC 2024","Tue Mar 05 03:28:12 UTC 2024","12381","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Tue Mar 05 03:34:18 UTC 2024","Tue Mar 05 03:34:32 UTC 2024","14196","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Tue Mar 05 02:20:09 UTC 2024","Tue Mar 05 02:20:35 UTC 2024","26181","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Tue Mar 05 03:00:44 UTC 2024","Tue Mar 05 03:00:49 UTC 2024","5041","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Tue Mar 05 02:35:29 UTC 2024","Tue Mar 05 02:35:36 UTC 2024","7126","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Tue Mar 05 02:33:14 UTC 2024","Tue Mar 05 02:33:17 UTC 2024","2717","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"skipped","Tue Mar 05 04:11:04 UTC 2024","Tue Mar 05 04:11:04 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Tue Mar 05 02:44:31 UTC 2024","Tue Mar 05 02:44:43 UTC 2024","11412","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Tue Mar 05 02:44:43 UTC 2024","Tue Mar 05 02:44:47 UTC 2024","4231","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Tue Mar 05 03:44:56 UTC 2024","Tue Mar 05 03:45:10 UTC 2024","14276","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Tue Mar 05 03:00:49 UTC 2024","Tue Mar 05 03:00:50 UTC 2024","1498","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Tue Mar 05 03:34:15 UTC 2024","Tue Mar 05 03:34:18 UTC 2024","2736","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Tue Mar 05 02:56:20 UTC 2024","Tue Mar 05 02:56:31 UTC 2024","11282","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Tue Mar 05 03:59:58 UTC 2024","Tue Mar 05 04:00:08 UTC 2024","9785","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Tue Mar 05 02:35:12 UTC 2024","Tue Mar 05 02:35:29 UTC 2024","17229","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Mar 05 04:02:37 UTC 2024","Tue Mar 05 04:03:16 UTC 2024","39099","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Tue Mar 05 03:49:12 UTC 2024","Tue Mar 05 03:49:19 UTC 2024","7642","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Tue Mar 05 03:47:02 UTC 2024","Tue Mar 05 03:47:17 UTC 2024","15542","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Tue Mar 05 02:29:15 UTC 2024","Tue Mar 05 02:29:17 UTC 2024","2262","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Tue Mar 05 02:27:55 UTC 2024","Tue Mar 05 02:28:02 UTC 2024","6970","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Tue Mar 05 03:34:13 UTC 2024","Tue Mar 05 03:34:15 UTC 2024","2341","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Tue Mar 05 02:37:21 UTC 2024","Tue Mar 05 02:38:16 UTC 2024","55106","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Tue Mar 05 02:22:25 UTC 2024","Tue Mar 05 02:22:29 UTC 2024","4264","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Tue Mar 05 02:27:23 UTC 2024","Tue Mar 05 02:27:28 UTC 2024","5770","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Mar 05 03:59:45 UTC 2024","Tue Mar 05 03:59:58 UTC 2024","12963","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Tue Mar 05 02:44:27 UTC 2024","Tue Mar 05 02:44:31 UTC 2024","4089","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Tue Mar 05 02:45:10 UTC 2024","Tue Mar 05 02:45:13 UTC 2024","2121","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Tue Mar 05 02:29:17 UTC 2024","Tue Mar 05 02:29:17 UTC 2024","254","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Tue Mar 05 02:31:24 UTC 2024","Tue Mar 05 02:31:33 UTC 2024","8748","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Tue Mar 05 02:31:39 UTC 2024","Tue Mar 05 02:31:59 UTC 2024","20361","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Mar 05 03:47:17 UTC 2024","Tue Mar 05 03:47:24 UTC 2024","6320","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Tue Mar 05 03:45:22 UTC 2024","Tue Mar 05 03:45:27 UTC 2024","4245","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Tue Mar 05 02:29:28 UTC 2024","Tue Mar 05 02:29:28 UTC 2024","711","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Tue Mar 05 03:34:32 UTC 2024","Tue Mar 05 03:34:44 UTC 2024","11667","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Tue Mar 05 02:23:53 UTC 2024","Tue Mar 05 02:24:55 UTC 2024","61792","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Tue Mar 05 03:34:05 UTC 2024","Tue Mar 05 03:34:07 UTC 2024","2776","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Tue Mar 05 03:45:20 UTC 2024","Tue Mar 05 03:45:22 UTC 2024","2365","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"skipped","Tue Mar 05 04:11:04 UTC 2024","Tue Mar 05 04:11:04 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
